designation,perihelion_year,perihelion_month,perihelion_day,perihelion_distance_au,eccentricity,argument_of_perihelion_degrees,longitude_of_ascending_node_degrees,inclination_degrees,magnitude_g,magnitude_k,reference
1P,1986,2,8.648898334102384,0.5747157977675837,0.9679427911270999,112.257792004868,59.11448293673941,162.1878711908339,5.5,8.0,JPL 73
2P,2017,3,10.086943869125301,0.3358996746025485,0.848345326780044,186.5570090066091,334.5641058483116,11.7793773561147,15.6,4.5,JPL K235/24
4P,2021,9,5.691592457851076,1.578038523659062,0.5844825149811913,205.9925126008026,194.8000581207003,8.159953029127585,11.0,9.5,JPL K212/31
6P,2021,9,17.789294566837338,1.354585254479242,0.6126701232429161,178.1064598500486,138.9371003258597,19.51243094515556,15.9,8.5,JPL K212/13
7P,2015,1,30.52748807209455,1.239198689611528,0.6375712425875647,172.5055336098141,93.41561018941695,22.33463826457564,16.0,4.5,JPL 30
8P,2008,1,27.01801546184013,1.027263094466541,0.8197876162331501,207.5115175085094,270.3421615706648,54.98196882510133,14.6,4.5,JPL K215/24
9P,2016,8,2.560569577302245,1.542449288110049,0.5097934583806997,179.1886371578321,68.7634651234371,10.47324079792451,12.8,9.25,JPL K223/36
10P,2010,7,4.400838550672396,1.421073611943043,0.5363407586870513,195.5503811987826,117.80217678,12.02670270585151,14.3,5.25,JPL K214/43
11P,2020,11,26.014127346866307,1.389708453332897,0.5774221354420226,167.7673742105794,238.9870234501607,14.43558220683607,15.2,20.0,JPL K204/12
12P,2024,4,21.150865187804722,0.7810303985478346,0.9545314004064006,198.9855499176912,255.8484573629339,74.18844459955007,5.0,15.0,JPL K242/36
13P,2024,6,27.820069054002154,1.156827611120747,0.9305208137754358,64.58162220965261,86.05114914798894,44.63547237179048,7.7,18.25,JPL 13
14P,2009,2,27.60709878753927,2.728800509097144,0.357453296269419,159.1964068959347,202.1079779976616,27.94263968532118,15.7,4.5,JPL K174/9
15P,2014,12,27.072638768331263,0.9766869829698374,0.7201854351765701,347.6257490138329,13.75387564025031,6.800480636131514,15.0,8.25,JPL K213/16
16P,2014,6,14.768704633805209,1.454508132180911,0.5689747294286532,220.1660459205524,159.3430174044605,4.30689945969963,12.2,13.5,JPL K212/7
17P,2014,3,26.72030128289213,2.066329253220024,0.4301548250677266,24.73850750256396,326.7738083768458,19.0703590023508,9.4,14.75,JPL K212/33
19P,2022,2,1.7622618510045949,1.306011016490512,0.6379196509967269,351.8606875545229,74.3024414777589,29.31940320796265,9.8,14.75,JPL K222/14
21P,2018,9,10.265469276852848,1.013493750730936,0.7104667848114644,172.8091596458073,195.4051449504903,32.00303376160798,13.1,8.5,JPL K182/14
22P,2022,3,17.894299099057164,1.554834847079416,0.5485999660053598,162.9112665414216,120.8359979370415,4.73978745796747,11.9,9.75,JPL K222/35
23P,1989,9,11.937433152217222,0.4787527107248575,0.971952257924851,129.6106836788667,311.5854622141069,19.33394046981863,7.8,8.0,JPL 13
24P,2017,11,16.760817130808437,1.20616902407146,0.7048377385790582,58.00232148852397,79.66577775476655,11.73397999992298,12.0,16.0,JPL K173/9
26P,2008,3,23.713597796909596,1.112198276641873,0.6339236684420211,1.635708949076988,211.6412756217135,22.40700482624807,16.8,5.0,JPL K234/9
27P,2011,8,2.567845764707442,0.7342100902931331,0.9192598738413603,195.9554453537227,250.9593527477335,29.22111461111518,12.7,27.75,JPL 6
28P,2021,3,11.758894243667708,1.580917802198208,0.7735624447726844,347.4674298878155,346.3446617470269,14.31027133087836,13.2,4.5,JPL 74
29P,2019,4,19.79216707586014,5.776533212251606,0.04475336041950449,50.91331805745789,312.3941494996202,9.36406979103401,10.1,4.5,JPL K192/80
30P,2010,4,19.888963280739038,1.880469236420931,0.5017178362338411,13.14526385708305,119.7267362359356,8.127148933061045,13.6,6.75,JPL K243/5
31P,2010,9,29.457210678614953,3.424313358172445,0.1929518908135903,17.93006801410605,114.1876326212957,4.546486710364198,7.2,17.5,JPL K193/22
32P,2014,10,17.516173588003667,2.000877416983606,0.556169706605429,53.32056620477283,57.82999317846528,9.969697598219515,10.4,10.75,JPL K242/3
33P,2008,7,20.471563226603415,2.166352466794279,0.4624304295345443,18.90230805402269,66.53951021951877,22.38780954782329,15.4,4.5,JPL K163/8
35P,1939,8,9.464000010878912,0.74849,0.97405,29.298,355.98,64.207,8.3,10.0,SAO/1939
