perihelion_year,perihelion_month,perihelion_day,perihelion_distance_au,eccentricity,argument_of_perihelion_degrees,longitude_of_ascending_node_degrees,inclination_degrees,magnitude_g,magnitude_k,designation,reference
2022,8,10.9869,2.017361,0.412268,181.9861,37.6936,25.5645,9.0,10.0,100P,MPEC 2013-O31
2020,1,12.6742,2.344403,0.5960770000000001,277.7047,116.2266,5.0526,10.0,12.0,101P,MPEC 2021-S45
2021,1,22.4929,2.070128,0.45714099999999996,20.5646,339.3647,25.8846,6.5,20.0,102P,MPEC 2021-S45
2023,10,12.7157,1.065768,0.693385,181.282,219.7356,13.6042,8.5,20.0,103P,MPEC 2018-HA5
2022,1,11.6504,1.073183,0.665419,227.2433,207.2224,5.701,16.0,10.0,104P,MPEC 2021-S45
2018,8,9.3544,2.048435,0.40929499999999996,46.4874,192.407,9.1696,11.5,15.0,105P,MPC109147
2021,8,18.7668,1.528632,0.593697,353.6643,48.8866,19.5374,14.0,12.0,106P,MPEC 2021-S45
2022,8,24.6756,0.9668950000000001,0.6316579999999999,95.424,266.7847,2.7989,9.0,10.0,107P,MPEC 2015-M77
2021,9,10.153,1.660316,0.55583,354.4159,50.2933,11.4394,8.0,30.0,108P,MPEC 2021-S45
1992,12,4.6898,0.9735729999999999,0.962774,152.9331,139.0392,113.9872,4.0,15.0,109P,105
2021,3,24.2557,1.412461,0.5385300000000001,195.4957,117.8082,12.0394,5.0,25.0,10P,MPEC 2021-S45
2021,10,18.3017,2.455724,0.318242,167.4449,287.5353,11.7069,1.0,30.0,110P,MPEC 2021-S45
2021,6,15.5232,3.7076089999999997,0.106171,0.975,89.7661,4.2267,5.0,20.0,111P,MPC 75718
2020,2,8.0422,1.44537,0.590004,21.4758,31.8332,24.1999,14.0,15.0,112P,MPEC 2021-S45
2022,6,1.2409,2.141979,0.42030100000000004,115.44,306.6923,5.2911,13.5,10.0,113P,MPEC 2021-S45
2020,1,14.0421,1.57802,0.554825,172.7611,271.0459,18.2748,11.5,15.0,114P,MPEC 2021-S45
2020,7,29.5901,2.056928,0.518515,120.9807,176.0093,11.6775,10.5,15.0,115P,MPEC 2020-SI8
2022,7,17.0212,2.196754,0.370593,173.3244,20.9831,3.6035,2.5,25.0,116P,MPEC 2021-S45
2022,7,7.5482,3.039838,0.255625,222.895,58.8412,8.7033,2.5,20.0,117P,MPEC 2021-S45
